EC number	KEGG pathway(s)
1.1.1.39	Pyruvate metabolism
1.1.1.40	Pyruvate metabolism
1.1.1.78	Pyruvate metabolism
1.1.1.79	Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites
1.1.1.82	Pyruvate metabolism
1.1.2.3	Pyruvate metabolism
1.1.2.4	Pyruvate metabolism
1.1.2.5	Pyruvate metabolism
1.1.99.7	Pyruvate metabolism
1.13.12.4	Pyruvate metabolism
1.2.1.22	Pyruvate metabolism
1.2.1.23	Pyruvate metabolism
1.2.1.49	Pyruvate metabolism
1.2.3.3	Pyruvate metabolism
1.2.3.6	Pyruvate metabolism
1.2.5.1	Pyruvate metabolism
1.2.7.-	Pyruvate metabolism
1.2.99.6	Pyruvate metabolism
2.3.1.54	Pyruvate metabolism
2.3.1.8	Pyruvate metabolism
2.3.3.6	Pyruvate metabolism
2.3.3.9	Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites
2.7.2.1	Pyruvate metabolism
2.7.2.12	Pyruvate metabolism
2.7.9.1	Pyruvate metabolism
2.7.9.2	Pyruvate metabolism
2.8.3.1	Pyruvate metabolism
3.1.2.1	Pyruvate metabolism
3.1.2.6	Pyruvate metabolism
3.6.1.7	Pyruvate metabolism
4.1.1.3	Pyruvate metabolism
4.1.1.31	Pyruvate metabolism
4.1.1.38	Pyruvate metabolism
4.1.1.78	Pyruvate metabolism
4.1.2.36	Pyruvate metabolism
4.1.3.-	Pyruvate metabolism
4.2.1.130	Pyruvate metabolism
4.4.1.5	Pyruvate metabolism
5.1.2.1	Pyruvate metabolism
1.1.1.26	Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites
1.1.1.36	Glyoxylate and dicarboxylate metabolism
1.1.1.60	Glyoxylate and dicarboxylate metabolism
1.1.1.77	Glyoxylate and dicarboxylate metabolism
1.1.1.92	Glyoxylate and dicarboxylate metabolism
1.1.1.93	Glyoxylate and dicarboxylate metabolism
1.1.3.15	Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.99.14	Glyoxylate and dicarboxylate metabolism
1.2.1.17	Glyoxylate and dicarboxylate metabolism
1.2.1.2	Glyoxylate and dicarboxylate metabolism
1.2.1.21	Glyoxylate and dicarboxylate metabolism
1.2.2.1	Glyoxylate and dicarboxylate metabolism
1.2.3.4	Glyoxylate and dicarboxylate metabolism
1.2.3.5	Glyoxylate and dicarboxylate metabolism
1.3.1.7	Glyoxylate and dicarboxylate metabolism
1.3.1.85	Glyoxylate and dicarboxylate metabolism
1.3.8.12	Glyoxylate and dicarboxylate metabolism
1.4.7.1	Glyoxylate and dicarboxylate metabolism; Nitrogen metabolism
2.2.1.5	Glyoxylate and dicarboxylate metabolism
2.3.3.12	Glyoxylate and dicarboxylate metabolism
2.3.3.7	Glyoxylate and dicarboxylate metabolism
2.7.2.6	Glyoxylate and dicarboxylate metabolism
2.8.3.-	Glyoxylate and dicarboxylate metabolism
2.8.3.2	Glyoxylate and dicarboxylate metabolism
3.1.2.10	Glyoxylate and dicarboxylate metabolism
3.1.2.30	Glyoxylate and dicarboxylate metabolism
3.1.3.18	Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.3.2.4	Glyoxylate and dicarboxylate metabolism
3.5.1.10	Glyoxylate and dicarboxylate metabolism; One carbon pool by folate
3.5.1.49	Glyoxylate and dicarboxylate metabolism; Nitrogen metabolism
3.5.1.56	Glyoxylate and dicarboxylate metabolism
4.1.1.2	Glyoxylate and dicarboxylate metabolism
4.1.1.39	Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.1.1.40	Glyoxylate and dicarboxylate metabolism
4.1.1.47	Glyoxylate and dicarboxylate metabolism
4.1.1.54	Glyoxylate and dicarboxylate metabolism
4.1.1.8	Glyoxylate and dicarboxylate metabolism
4.1.3.1	Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites
4.1.3.13	Glyoxylate and dicarboxylate metabolism
4.1.3.24	Glyoxylate and dicarboxylate metabolism
4.1.3.42	Glyoxylate and dicarboxylate metabolism
4.2.1.148	Glyoxylate and dicarboxylate metabolism
4.2.1.32	Glyoxylate and dicarboxylate metabolism
4.2.1.55	Glyoxylate and dicarboxylate metabolism
4.3.1.2	Glyoxylate and dicarboxylate metabolism
5.1.2.5	Glyoxylate and dicarboxylate metabolism
5.3.1.22	Glyoxylate and dicarboxylate metabolism
5.4.99.1	Glyoxylate and dicarboxylate metabolism
6.2.1.8	Glyoxylate and dicarboxylate metabolism
6.2.1.9	Glyoxylate and dicarboxylate metabolism
1.5.1.15	One carbon pool by folate
1.5.1.20	One carbon pool by folate
1.5.1.3	One carbon pool by folate
1.5.1.5	One carbon pool by folate
1.5.1.6	One carbon pool by folate
1.5.7.1	One carbon pool by folate
2.1.1.19	One carbon pool by folate
2.1.2.7	One carbon pool by folate
2.1.2.9	One carbon pool by folate
3.5.4.9	One carbon pool by folate
4.3.1.4	One carbon pool by folate
6.3.3.2	One carbon pool by folate
6.3.4.3	One carbon pool by folate
1.1.1.216	Terpenoid backbone biosynthesis
1.1.1.267	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.1.34	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.1.88	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.17.1.2	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.17.7.1	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.17.7.3	Terpenoid backbone biosynthesis
1.3.1.83	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
1.8.3.5	Terpenoid backbone biosynthesis; Biosynthesis of antibiotics
1.8.3.6	Terpenoid backbone biosynthesis; Biosynthesis of antibiotics
2.1.1.100	Terpenoid backbone biosynthesis; Biosynthesis of antibiotics
2.2.1.7	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.5.1.1	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.5.1.10	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.5.1.20	Terpenoid backbone biosynthesis
2.5.1.29	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.5.1.30	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
2.5.1.31	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
2.5.1.58	Terpenoid backbone biosynthesis; Biosynthesis of antibiotics
2.5.1.68	Terpenoid backbone biosynthesis
2.5.1.82	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
2.5.1.83	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
2.5.1.84	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
2.5.1.85	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
2.5.1.86	Terpenoid backbone biosynthesis
2.5.1.87	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
2.5.1.88	Terpenoid backbone biosynthesis
2.5.1.89	Terpenoid backbone biosynthesis
2.5.1.90	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
2.5.1.91	Terpenoid backbone biosynthesis
2.5.1.92	Terpenoid backbone biosynthesis
2.7.1.-	Terpenoid backbone biosynthesis
2.7.1.148	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.1.185	Terpenoid backbone biosynthesis
2.7.1.186	Terpenoid backbone biosynthesis
2.7.1.36	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.4.2	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.4.26	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.7.60	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.1.7.6	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
3.4.22.-	Terpenoid backbone biosynthesis
3.4.24.84	Terpenoid backbone biosynthesis; Biosynthesis of antibiotics
4.1.1.33	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.1.1.99	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
4.2.3.27	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
4.6.1.12	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.3.3.2	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.13.12.16	Nitrogen metabolism
1.14.99.39	Nitrogen metabolism
1.18.6.1	Nitrogen metabolism
1.19.6.1	Nitrogen metabolism
1.7.1.1	Nitrogen metabolism
1.7.1.10	Nitrogen metabolism
1.7.1.14	Nitrogen metabolism
1.7.1.15	Nitrogen metabolism
1.7.1.2	Nitrogen metabolism
1.7.1.3	Nitrogen metabolism
1.7.1.4	Nitrogen metabolism
1.7.2.1	Nitrogen metabolism
1.7.2.2	Nitrogen metabolism
1.7.2.4	Nitrogen metabolism
1.7.2.5	Nitrogen metabolism
1.7.2.6	Nitrogen metabolism
1.7.3.1	Nitrogen metabolism
1.7.7.1	Nitrogen metabolism
1.7.7.2	Nitrogen metabolism
1.7.99.1	Nitrogen metabolism
1.7.99.4	Nitrogen metabolism
1.7.99.8	Nitrogen metabolism
1.9.6.1	Nitrogen metabolism
4.2.1.1	Nitrogen metabolism
4.2.1.104	Nitrogen metabolism
1.12.98.4	Sulfur metabolism
1.13.11.18	Sulfur metabolism
1.13.11.55	Sulfur metabolism
1.14.11.17	Sulfur metabolism
1.14.13.111	Sulfur metabolism
1.14.13.131	Sulfur metabolism
1.14.14.5	Sulfur metabolism
1.8.1.17	Sulfur metabolism
1.8.1.2	Sulfur metabolism
1.8.2.1	Sulfur metabolism
1.8.2.3	Sulfur metabolism
1.8.2.4	Sulfur metabolism
1.8.3.1	Sulfur metabolism
1.8.3.4	Sulfur metabolism
1.8.4.8	Sulfur metabolism
1.8.4.9	Sulfur metabolism
1.8.5.-	Sulfur metabolism
1.8.5.2	Sulfur metabolism
1.8.5.3	Sulfur metabolism
1.8.7.1	Sulfur metabolism
1.8.99.2	Sulfur metabolism
1.8.99.3	Sulfur metabolism
1.8.99.5	Sulfur metabolism
2.1.1.251	Sulfur metabolism
2.1.1.269	Sulfur metabolism
2.7.7.5	Sulfur metabolism
2.8.1.1	Sulfur metabolism
2.8.1.5	Sulfur metabolism
3.1.3.7	Sulfur metabolism
3.12.1.1	Sulfur metabolism
3.6.2.1	Sulfur metabolism
3.6.2.2	Sulfur metabolism
3.6.3.-	Sulfur metabolism
3.6.3.25	Sulfur metabolism
3.6.3.36	Sulfur metabolism
4.4.1.2	Sulfur metabolism
4.4.1.3	Sulfur metabolism
1.14.19.-	Biosynthesis of unsaturated fatty acids
1.14.19.1	Biosynthesis of unsaturated fatty acids
1.1.1.169	Biosynthesis of secondary metabolites
1.1.1.193	Biosynthesis of secondary metabolites
1.1.1.195	Biosynthesis of secondary metabolites
1.1.1.206	Biosynthesis of secondary metabolites
1.1.1.207	Biosynthesis of secondary metabolites
1.1.1.208	Biosynthesis of secondary metabolites
1.1.1.218	Biosynthesis of secondary metabolites
1.1.1.219	Biosynthesis of secondary metabolites
1.1.1.223	Biosynthesis of secondary metabolites
1.1.1.241	Biosynthesis of secondary metabolites
1.1.1.243	Biosynthesis of secondary metabolites
1.1.1.247	Biosynthesis of secondary metabolites
1.1.1.248	Biosynthesis of secondary metabolites
1.1.1.273	Biosynthesis of secondary metabolites
1.1.1.275	Biosynthesis of secondary metabolites
1.1.1.288	Biosynthesis of secondary metabolites
1.1.1.294	Biosynthesis of secondary metabolites
1.1.1.295	Biosynthesis of secondary metabolites
1.1.1.314	Biosynthesis of secondary metabolites
1.1.1.324	Biosynthesis of secondary metabolites
1.1.1.348	Biosynthesis of secondary metabolites
1.1.1.5	Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.1.8	Biosynthesis of secondary metabolites
1.1.1.94	Biosynthesis of secondary metabolites
1.1.3.21	Biosynthesis of secondary metabolites
1.1.5.3	Biosynthesis of secondary metabolites
1.11.1.7	Biosynthesis of secondary metabolites
1.13.11.12	Biosynthesis of secondary metabolites
1.13.11.51	Biosynthesis of secondary metabolites
1.14.11.11	Biosynthesis of secondary metabolites
1.14.11.12	Biosynthesis of secondary metabolites
1.14.11.14	Biosynthesis of secondary metabolites
1.14.11.15	Biosynthesis of secondary metabolites
1.14.11.19	Biosynthesis of secondary metabolites
1.14.11.22	Biosynthesis of secondary metabolites
1.14.11.23	Biosynthesis of secondary metabolites
1.14.11.31	Biosynthesis of secondary metabolites
1.14.11.32	Biosynthesis of secondary metabolites
1.14.11.9	Biosynthesis of secondary metabolites
1.14.12.20	Biosynthesis of secondary metabolites
1.14.13.104	Biosynthesis of secondary metabolites
1.14.13.105	Biosynthesis of secondary metabolites
1.14.13.108	Biosynthesis of secondary metabolites
1.14.13.109	Biosynthesis of secondary metabolites
1.14.13.110	Biosynthesis of secondary metabolites
1.14.13.112	Biosynthesis of secondary metabolites
1.14.13.117	Biosynthesis of secondary metabolites
1.14.13.118	Biosynthesis of secondary metabolites
1.14.13.122	Biosynthesis of secondary metabolites
1.14.13.123	Biosynthesis of secondary metabolites
1.14.13.124	Biosynthesis of secondary metabolites
1.14.13.136	Biosynthesis of secondary metabolites
1.14.13.137	Biosynthesis of secondary metabolites
1.14.13.138	Biosynthesis of secondary metabolites
1.14.13.139	Biosynthesis of secondary metabolites
1.14.13.140	Biosynthesis of secondary metabolites
1.14.13.143	Biosynthesis of secondary metabolites
1.14.13.144	Biosynthesis of secondary metabolites
1.14.13.145	Biosynthesis of secondary metabolites
1.14.13.151	Biosynthesis of secondary metabolites
1.14.13.152	Biosynthesis of secondary metabolites
1.14.13.156	Biosynthesis of secondary metabolites
1.14.13.178	Biosynthesis of secondary metabolites
1.14.13.179	Biosynthesis of secondary metabolites
1.14.13.21	Biosynthesis of secondary metabolites
1.14.13.36	Biosynthesis of secondary metabolites
1.14.13.37	Biosynthesis of secondary metabolites
1.14.13.41	Biosynthesis of secondary metabolites
1.14.13.47	Biosynthesis of secondary metabolites
1.14.13.48	Biosynthesis of secondary metabolites
1.14.13.49	Biosynthesis of secondary metabolites
1.14.13.51	Biosynthesis of secondary metabolites
1.14.13.52	Biosynthesis of secondary metabolites
1.14.13.55	Biosynthesis of secondary metabolites
1.14.13.56	Biosynthesis of secondary metabolites
1.14.13.57	Biosynthesis of secondary metabolites
1.14.13.68	Biosynthesis of secondary metabolites
1.14.13.71	Biosynthesis of secondary metabolites
1.14.13.74	Biosynthesis of secondary metabolites
1.14.13.75	Biosynthesis of secondary metabolites
1.14.13.77	Biosynthesis of secondary metabolites
1.14.13.78	Biosynthesis of secondary metabolites
1.14.13.79	Biosynthesis of secondary metabolites
1.14.13.80	Biosynthesis of secondary metabolites
1.14.13.81	Biosynthesis of secondary metabolites
1.14.13.88	Biosynthesis of secondary metabolites
1.14.13.89	Biosynthesis of secondary metabolites
1.14.13.90	Biosynthesis of secondary metabolites
1.14.13.91	Biosynthesis of secondary metabolites
1.14.21.1	Biosynthesis of secondary metabolites
1.14.21.2	Biosynthesis of secondary metabolites
1.14.21.4	Biosynthesis of secondary metabolites
1.14.21.5	Biosynthesis of secondary metabolites
1.14.99.37	Biosynthesis of secondary metabolites
1.14.99.45	Biosynthesis of secondary metabolites
1.17.1.3	Biosynthesis of secondary metabolites
1.17.7.2	Biosynthesis of secondary metabolites
1.2.1.44	Biosynthesis of secondary metabolites
1.2.1.50	Biosynthesis of secondary metabolites
1.2.1.70	Biosynthesis of secondary metabolites
1.2.1.74	Biosynthesis of secondary metabolites
1.2.3.14	Biosynthesis of secondary metabolites
1.21.3.2	Biosynthesis of secondary metabolites
1.21.3.3	Biosynthesis of secondary metabolites
1.23.5.1	Biosynthesis of secondary metabolites
1.3.1.22	Biosynthesis of secondary metabolites
1.3.1.28	Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.3.1.33	Biosynthesis of secondary metabolites
1.3.1.36	Biosynthesis of secondary metabolites
1.3.1.42	Biosynthesis of secondary metabolites
1.3.1.45	Biosynthesis of secondary metabolites
1.3.1.69	Biosynthesis of secondary metabolites
1.3.1.73	Biosynthesis of secondary metabolites
1.3.1.75	Biosynthesis of secondary metabolites
1.3.1.76	Biosynthesis of secondary metabolites
1.3.1.77	Biosynthesis of secondary metabolites
1.3.1.80	Biosynthesis of secondary metabolites
1.3.1.81	Biosynthesis of secondary metabolites
1.3.1.82	Biosynthesis of secondary metabolites
1.3.3.3	Biosynthesis of secondary metabolites
1.3.3.4	Biosynthesis of secondary metabolites
1.3.3.8	Biosynthesis of secondary metabolites
1.3.3.9	Biosynthesis of secondary metabolites
1.3.5.3	Biosynthesis of secondary metabolites
1.3.5.5	Biosynthesis of secondary metabolites
1.3.5.6	Biosynthesis of secondary metabolites
1.3.7.7	Biosynthesis of secondary metabolites
1.3.99.22	Biosynthesis of secondary metabolites
1.3.99.26	Biosynthesis of secondary metabolites
1.3.99.28	Biosynthesis of secondary metabolites
1.3.99.29	Biosynthesis of secondary metabolites
1.3.99.30	Biosynthesis of secondary metabolites
1.3.99.31	Biosynthesis of secondary metabolites
1.4.1.18	Biosynthesis of secondary metabolites
1.4.99.5	Biosynthesis of secondary metabolites
1.5.1.27	Biosynthesis of secondary metabolites
1.5.1.32	Biosynthesis of secondary metabolites
1.5.3.12	Biosynthesis of secondary metabolites
2.1.1.107	Biosynthesis of secondary metabolites
2.1.1.11	Biosynthesis of secondary metabolites
2.1.1.111	Biosynthesis of secondary metabolites
2.1.1.115	Biosynthesis of secondary metabolites
2.1.1.116	Biosynthesis of secondary metabolites
2.1.1.117	Biosynthesis of secondary metabolites
2.1.1.119	Biosynthesis of secondary metabolites
2.1.1.120	Biosynthesis of secondary metabolites
2.1.1.122	Biosynthesis of secondary metabolites
2.1.1.128	Biosynthesis of secondary metabolites
2.1.1.140	Biosynthesis of secondary metabolites
2.1.1.141	Biosynthesis of secondary metabolites
2.1.1.158	Biosynthesis of secondary metabolites
2.1.1.159	Biosynthesis of secondary metabolites
2.1.1.16	Biosynthesis of secondary metabolites
2.1.1.160	Biosynthesis of secondary metabolites
2.1.1.17	Biosynthesis of secondary metabolites
2.1.1.212	Biosynthesis of secondary metabolites
2.1.1.270	Biosynthesis of secondary metabolites
2.1.1.53	Biosynthesis of secondary metabolites
2.1.1.68	Biosynthesis of secondary metabolites
2.1.1.71	Biosynthesis of secondary metabolites
2.1.2.11	Biosynthesis of secondary metabolites
2.3.1.133	Biosynthesis of secondary metabolites
2.3.1.146	Biosynthesis of secondary metabolites
2.3.1.15	Biosynthesis of secondary metabolites
2.3.1.150	Biosynthesis of secondary metabolites
2.3.1.159	Biosynthesis of secondary metabolites
2.3.1.160	Biosynthesis of secondary metabolites
2.3.1.166	Biosynthesis of secondary metabolites
2.3.1.167	Biosynthesis of secondary metabolites
2.3.1.170	Biosynthesis of secondary metabolites
2.3.1.195	Biosynthesis of secondary metabolites
2.3.1.211	Biosynthesis of secondary metabolites
2.3.1.217	Biosynthesis of secondary metabolites
2.3.1.218	Biosynthesis of secondary metabolites
2.3.1.219	Biosynthesis of secondary metabolites
2.3.1.5	Biosynthesis of secondary metabolites
2.3.1.51	Biosynthesis of secondary metabolites
2.3.1.74	Biosynthesis of secondary metabolites
2.3.1.95	Biosynthesis of secondary metabolites
2.4.1.114	Biosynthesis of secondary metabolites
2.4.1.115	Biosynthesis of secondary metabolites
2.4.1.159	Biosynthesis of secondary metabolites
2.4.1.203	Biosynthesis of secondary metabolites
2.4.1.219	Biosynthesis of secondary metabolites
2.4.1.263	Biosynthesis of secondary metabolites
2.4.1.63	Biosynthesis of secondary metabolites
2.4.1.85	Biosynthesis of secondary metabolites
2.4.1.91	Biosynthesis of secondary metabolites
2.4.2.40	Biosynthesis of secondary metabolites
2.5.1.112	Biosynthesis of secondary metabolites
2.5.1.24	Biosynthesis of secondary metabolites
2.5.1.27	Biosynthesis of secondary metabolites
2.5.1.32	Biosynthesis of secondary metabolites
2.5.1.44	Biosynthesis of secondary metabolites
2.5.1.50	Biosynthesis of secondary metabolites
2.5.1.61	Biosynthesis of secondary metabolites
2.5.1.62	Biosynthesis of secondary metabolites
2.5.1.75	Biosynthesis of secondary metabolites
2.5.1.78	Biosynthesis of secondary metabolites
2.5.1.9	Biosynthesis of secondary metabolites
2.5.1.96	Biosynthesis of secondary metabolites
2.7.1.107	Biosynthesis of secondary metabolites
2.7.1.174	Biosynthesis of secondary metabolites
2.7.1.26	Biosynthesis of secondary metabolites
2.7.7.2	Biosynthesis of secondary metabolites
2.7.7.41	Biosynthesis of secondary metabolites
2.7.8.1	Biosynthesis of secondary metabolites
2.7.8.24	Biosynthesis of secondary metabolites
2.7.8.29	Biosynthesis of secondary metabolites
2.8.2.24	Biosynthesis of secondary metabolites
3.1.1.10	Biosynthesis of secondary metabolites
3.1.1.14	Biosynthesis of secondary metabolites
3.1.1.32	Biosynthesis of secondary metabolites
3.1.1.4	Biosynthesis of secondary metabolites
3.1.1.78	Biosynthesis of secondary metabolites
3.1.1.80	Biosynthesis of secondary metabolites
3.1.1.82	Biosynthesis of secondary metabolites
3.1.1.84	Biosynthesis of secondary metabolites
3.1.3.4	Biosynthesis of secondary metabolites
3.1.3.81	Biosynthesis of secondary metabolites
3.1.4.3	Biosynthesis of secondary metabolites
3.1.4.4	Biosynthesis of secondary metabolites
3.1.7.10	Biosynthesis of secondary metabolites
3.1.7.3	Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.1.7.5	Biosynthesis of secondary metabolites
3.2.1.105	Biosynthesis of secondary metabolites
3.2.1.117	Biosynthesis of secondary metabolites
3.2.1.118	Biosynthesis of secondary metabolites
3.2.2.25	Biosynthesis of secondary metabolites
3.3.2.1	Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.5.1.22	Biosynthesis of secondary metabolites
3.5.4.25	Biosynthesis of secondary metabolites
3.5.5.4	Biosynthesis of secondary metabolites
3.6.1.26	Biosynthesis of secondary metabolites
4.1.1.11	Biosynthesis of secondary metabolites
4.1.1.37	Biosynthesis of secondary metabolites
4.1.1.65	Biosynthesis of secondary metabolites
4.1.2.10	Biosynthesis of secondary metabolites
4.1.2.11	Biosynthesis of secondary metabolites
4.1.2.46	Biosynthesis of secondary metabolites
4.1.2.47	Biosynthesis of secondary metabolites
4.1.99.12	Biosynthesis of secondary metabolites
4.1.99.16	Biosynthesis of secondary metabolites
4.1.99.5	Biosynthesis of secondary metabolites
4.2.1.105	Biosynthesis of secondary metabolites
4.2.1.123	Biosynthesis of secondary metabolites
4.2.1.124	Biosynthesis of secondary metabolites
4.2.1.125	Biosynthesis of secondary metabolites
4.2.1.127	Biosynthesis of secondary metabolites
4.2.1.129	Biosynthesis of secondary metabolites
4.2.1.133	Biosynthesis of secondary metabolites
4.2.1.139	Biosynthesis of secondary metabolites
4.2.1.24	Biosynthesis of secondary metabolites
4.2.1.65	Biosynthesis of secondary metabolites
4.2.1.75	Biosynthesis of secondary metabolites
4.2.1.78	Biosynthesis of secondary metabolites
4.2.1.92	Biosynthesis of secondary metabolites
4.2.3.10	Biosynthesis of secondary metabolites
4.2.3.103	Biosynthesis of secondary metabolites
4.2.3.108	Biosynthesis of secondary metabolites
4.2.3.11	Biosynthesis of secondary metabolites
4.2.3.111	Biosynthesis of secondary metabolites
4.2.3.119	Biosynthesis of secondary metabolites
4.2.3.120	Biosynthesis of secondary metabolites
4.2.3.13	Biosynthesis of secondary metabolites
4.2.3.131	Biosynthesis of secondary metabolites
4.2.3.132	Biosynthesis of secondary metabolites
4.2.3.141	Biosynthesis of secondary metabolites
4.2.3.15	Biosynthesis of secondary metabolites
4.2.3.16	Biosynthesis of secondary metabolites
4.2.3.17	Biosynthesis of secondary metabolites
4.2.3.18	Biosynthesis of secondary metabolites
4.2.3.19	Biosynthesis of secondary metabolites
4.2.3.20	Biosynthesis of secondary metabolites
4.2.3.21	Biosynthesis of secondary metabolites
4.2.3.22	Biosynthesis of secondary metabolites
4.2.3.23	Biosynthesis of secondary metabolites
4.2.3.24	Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.2.3.25	Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.2.3.26	Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.2.3.28	Biosynthesis of secondary metabolites
4.2.3.29	Biosynthesis of secondary metabolites
4.2.3.30	Biosynthesis of secondary metabolites
4.2.3.32	Biosynthesis of secondary metabolites
4.2.3.33	Biosynthesis of secondary metabolites
4.2.3.34	Biosynthesis of secondary metabolites
4.2.3.35	Biosynthesis of secondary metabolites
4.2.3.37	Biosynthesis of secondary metabolites
4.2.3.38	Biosynthesis of secondary metabolites
4.2.3.39	Biosynthesis of secondary metabolites
4.2.3.42	Biosynthesis of secondary metabolites
4.2.3.43	Biosynthesis of secondary metabolites
4.2.3.44	Biosynthesis of secondary metabolites
4.2.3.46	Biosynthesis of secondary metabolites
4.2.3.56	Biosynthesis of secondary metabolites
4.2.3.57	Biosynthesis of secondary metabolites
4.2.3.66	Biosynthesis of secondary metabolites
4.2.3.8	Biosynthesis of secondary metabolites
4.2.3.9	Biosynthesis of secondary metabolites
4.2.99.21	Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.3.3.2	Biosynthesis of secondary metabolites
4.3.3.3	Biosynthesis of secondary metabolites
4.4.1.9	Biosynthesis of secondary metabolites
4.99.1.1	Biosynthesis of secondary metabolites
4.99.1.4	Biosynthesis of secondary metabolites
5.2.1.12	Biosynthesis of secondary metabolites
5.2.1.13	Biosynthesis of secondary metabolites
5.2.1.9	Biosynthesis of secondary metabolites
5.3.99.6	Biosynthesis of secondary metabolites
5.3.99.9	Biosynthesis of secondary metabolites
5.4.2.5	Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.4.3.8	Biosynthesis of secondary metabolites
5.4.4.4	Biosynthesis of secondary metabolites
5.4.99.31	Biosynthesis of secondary metabolites
5.4.99.33	Biosynthesis of secondary metabolites
5.4.99.35	Biosynthesis of secondary metabolites
5.4.99.39	Biosynthesis of secondary metabolites
5.4.99.41	Biosynthesis of secondary metabolites
5.4.99.53	Biosynthesis of secondary metabolites
5.5.1.12	Biosynthesis of secondary metabolites
5.5.1.13	Biosynthesis of secondary metabolites
5.5.1.14	Biosynthesis of secondary metabolites
5.5.1.17	Biosynthesis of secondary metabolites
5.5.1.18	Biosynthesis of secondary metabolites
5.5.1.19	Biosynthesis of secondary metabolites
5.5.1.6	Biosynthesis of secondary metabolites
5.5.1.8	Biosynthesis of secondary metabolites
6.1.1.17	Biosynthesis of secondary metabolites
6.2.1.32	Biosynthesis of secondary metabolites
6.3.2.1	Biosynthesis of secondary metabolites
6.6.1.1	Biosynthesis of secondary metabolites
1.1.1.133	Biosynthesis of antibiotics
1.1.1.18	Biosynthesis of antibiotics
1.1.1.183	Biosynthesis of antibiotics
1.1.1.266	Biosynthesis of antibiotics
1.1.1.309	Biosynthesis of antibiotics
1.1.1.329	Biosynthesis of antibiotics
1.1.1.339	Biosynthesis of antibiotics
1.1.1.344	Biosynthesis of antibiotics
1.1.1.347	Biosynthesis of antibiotics
